Site	Ecoregion	Province	Realm	Habitat	Depth	Date	CLASS	ORDER	FAMILY	GENUS	Taxa	Abun	Dimensions	Method	Source
CAN1	Webbnesia	Lusitanian	Temperate Northern Atlantic	Reef	11	10/08/2011	NA	NA	NA	NA	NA	0	500	Transect	RLS
CAN1	Webbnesia	Lusitanian	Temperate Northern Atlantic	Reef	4	10/08/2011	NA	NA	NA	NA	NA	0	500	Transect	RLS
CAN1	Webbnesia	Lusitanian	Temperate Northern Atlantic	Reef	25	12/09/2011	NA	NA	NA	NA	NA	0	500	Transect	RLS
CAN1	Webbnesia	Lusitanian	Temperate Northern Atlantic	Reef	3	12/09/2011	NA	NA	NA	NA	NA	0	500	Transect	RLS
CAN1	Webbnesia	Lusitanian	Temperate Northern Atlantic	Reef	4	12/09/2011	NA	NA	NA	NA	NA	0	500	Transect	RLS
CAN1	Webbnesia	Lusitanian	Temperate Northern Atlantic	Reef	7	12/09/2011	NA	NA	NA	NA	NA	0	500	Transect	RLS
CAN10	Webbnesia	Lusitanian	Temperate Northern Atlantic	Reef	11	10/14/2011  	NA	NA	NA	NA	NA	0	500	Transect	RLS
CAN10	Webbnesia	Lusitanian	Temperate Northern Atlantic	Reef	9	10/14/2011  	NA	NA	NA	NA	NA	0	500	Transect	RLS
CAN10	Webbnesia	Lusitanian	Temperate Northern Atlantic	Reef	5	12/11/2011	NA	NA	NA	NA	NA	0	500	Transect	RLS
CAN10	Webbnesia	Lusitanian	Temperate Northern Atlantic	Reef	5	12/11/2011	NA	NA	NA	NA	NA	0	500	Transect	RLS
CAN10	Webbnesia	Lusitanian	Temperate Northern Atlantic	Reef	6	08/03/2012	NA	NA	NA	NA	NA	0	500	Transect	RLS
CAN100	Webbnesia	Lusitanian	Temperate Northern Atlantic	Reef	11	5/24/2015  	NA	NA	NA	NA	NA	0	500	Transect	RLS
CAN100	Webbnesia	Lusitanian	Temperate Northern Atlantic	Reef	12	5/24/2015  	NA	NA	NA	NA	NA	0	500	Transect	RLS
CAN101	Webbnesia	Lusitanian	Temperate Northern Atlantic	Reef	10	5/24/2015  	NA	NA	NA	NA	NA	0	500	Transect	RLS
CAN101	Webbnesia	Lusitanian	Temperate Northern Atlantic	Reef	10	5/24/2015  	NA	NA	NA	NA	NA	0	500	Transect	RLS
CAN102	Webbnesia	Lusitanian	Temperate Northern Atlantic	Reef	8	5/25/2015  	NA	NA	NA	NA	NA	0	500	Transect	RLS
CAN102	Webbnesia	Lusitanian	Temperate Northern Atlantic	Reef	10	6/25/2015  	NA	NA	NA	NA	NA	0	500	Transect	RLS
CAN103	Webbnesia	Lusitanian	Temperate Northern Atlantic	Reef	10	7/25/2015  	NA	NA	NA	NA	NA	0	500	Transect	RLS
CAN103	Webbnesia	Lusitanian	Temperate Northern Atlantic	Reef	10	6/25/2015  	NA	NA	NA	NA	NA	0	500	Transect	RLS
CAN104	Webbnesia	Lusitanian	Temperate Northern Atlantic	Reef	6	5/28/2015  	NA	NA	NA	NA	NA	0	500	Transect	RLS
CAN104	Webbnesia	Lusitanian	Temperate Northern Atlantic	Reef	6	5/28/2015  	NA	NA	NA	NA	NA	0	500	Transect	RLS
CAN105	Webbnesia	Lusitanian	Temperate Northern Atlantic	Reef	4	5/28/2015  	NA	NA	NA	NA	NA	0	500	Transect	RLS
CAN105	Webbnesia	Lusitanian	Temperate Northern Atlantic	Reef	5	5/28/2015  	NA	NA	NA	NA	NA	0	500	Transect	RLS
CAN106	Webbnesia	Lusitanian	Temperate Northern Atlantic	Reef	4	5/28/2015  	NA	NA	NA	NA	NA	0	500	Transect	RLS
CAN106	Webbnesia	Lusitanian	Temperate Northern Atlantic	Reef	3	5/28/2015  	NA	NA	NA	NA	NA	0	500	Transect	RLS
