Ecoregion	Site	S	Low	High			
Webbnesia	1	0.23	0.08	0.38			
Webbnesia	2	0.45	0.15	0.74			
Webbnesia	3	0.66	0.23	1.09			
Webbnesia	4	0.86	0.3	1.42			
Webbnesia	5	1.06	0.38	1.74			
Webbnesia	6	1.25	0.45	2.05			
Webbnesia	7	1.44	0.53	2.34			
Webbnesia	8	1.62	0.6	2.63			
Webbnesia	9	1.79	0.68	2.9			
Webbnesia	10	1.96	0.75	3.16			
Webbnesia	11	2.12	0.82	3.41			
Webbnesia	12	2.28	0.9	3.66			
Webbnesia	13	2.43	0.97	3.89			
Webbnesia	14	2.58	1.04	4.11			
Webbnesia	15	2.72	1.11	4.33			
Webbnesia	16	2.86	1.18	4.54			
Webbnesia	17	2.99	1.25	4.74			
Webbnesia	18	3.12	1.31	4.93			
Webbnesia	19	3.25	1.38	5.12			
Webbnesia	20	3.38	1.45	5.3			
Webbnesia	21	3.5	1.51	5.48			
Webbnesia	22	3.61	1.58	5.65			
Webbnesia	23	3.73	1.64	5.81			
Webbnesia	24	3.84	1.71	5.97			
Webbnesia	25	3.95	1.77	6.12			
Webbnesia	26	4.05	1.83	6.27			
Webbnesia	27	4.15	1.89	6.41			
Webbnesia	28	4.25	1.95	6.55			
Webbnesia	29	4.35	2.01	6.69			
Webbnesia	30	4.45	2.07	6.82			
Webbnesia	31	4.54	2.13	6.95			
Webbnesia	32	4.63	2.19	7.07			
Webbnesia	33	4.72	2.25	7.19			
Webbnesia	34	4.81	2.3	7.31			
Webbnesia	35	4.89	2.36	7.42			
Webbnesia	36	4.97	2.41	7.53			
Webbnesia	37	5.05	2.47	7.64			
Webbnesia	38	5.13	2.52	7.74			
Webbnesia	39	5.21	2.58	7.85			
Webbnesia	40	5.29	2.63	7.95			
Webbnesia	41	5.36	2.68	8.04			
Webbnesia	42	5.43	2.73	8.14			
Webbnesia	43	5.51	2.78	8.23			
Webbnesia	44	5.58	2.83	8.32			
Webbnesia	45	5.65	2.88	8.41			
Webbnesia	46	5.71	2.93	8.49			
Webbnesia	47	5.78	2.98	8.58			
Webbnesia	48	5.84	3.03	8.66			
Webbnesia	49	5.91	3.08	8.74			
